,,rank,mean_validatio_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params
0,,1,0.822323462414578,0.829163172118162,1,2,0.001,poly,"{'C': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}"
1,,1,0.822323462414578,0.829163172118162,100,2,0.0001,poly,"{'C': 100, 'degree': 2, 'gamma': 0.0001, 'kernel': 'poly'}"
2,,3,0.813211845102506,0.822321622713012,1,3,0.0001,poly,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'poly'}"
3,,3,0.813211845102506,0.823470940887771,10,2,0.0001,poly,"{'C': 10, 'degree': 2, 'gamma': 0.0001, 'kernel': 'poly'}"
4,,3,0.813211845102506,0.843972292113192,10,3,0.0001,poly,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'poly'}"
5,,6,0.810933940774487,0.821172304538254,1,,,linear,"{'C': 1, 'kernel': 'linear'}"
6,,6,0.810933940774487,0.828013853943404,10,,,linear,"{'C': 10, 'kernel': 'linear'}"
7,,8,0.808656036446469,0.853065883887802,10,2,0.001,poly,"{'C': 10, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}"
8,,9,0.797266514806378,0.85421520206256,100,,0.0001,rbf,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}"
9,,10,0.79498861047836,0.797269592768614,1,2,0.0001,poly,"{'C': 1, 'degree': 2, 'gamma': 0.0001, 'kernel': 'poly'}"
10,,11,0.788154897494305,0.821211132854968,100,,,linear,"{'C': 100, 'kernel': 'linear'}"
11,,11,0.788154897494305,0.862190538315783,1,2,0.01,poly,"{'C': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}"
12,,13,0.781321184510251,0.859868604976237,10,2,0.01,poly,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}"
13,,14,0.779043280182232,0.86330879383717,100,2,0.001,poly,"{'C': 100, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}"
14,,15,0.776765375854214,0.862206069642469,100,3,0.0001,poly,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'poly'}"
15,,16,0.769931662870159,0.837138508371385,100,2,0.01,poly,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}"
16,,17,0.763097949886105,0.800670953312832,10,,0.0001,rbf,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}"
17,,18,0.758542141230068,0.894091883328674,1,3,0.001,poly,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}"
18,,19,0.751708428246014,0.763116205386264,1,,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}"
19,,20,0.733485193621868,0.891808778305843,10,3,0.001,poly,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}"
20,,21,0.728929384965831,0.867906066536204,100,3,0.001,poly,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}"
21,,22,0.724373576309795,0.84171248408039,1,3,0.01,poly,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}"
22,,23,0.719817767653758,0.836020252849999,10,3,0.01,poly,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}"
23,,23,0.719817767653758,0.837161805361414,100,3,0.01,poly,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}"
24,,25,0.715261958997722,0.911153045693163,10,,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}"
25,,26,0.712984054669704,0.809834436057528,1,,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}"
26,,27,0.703872437357631,0.985175348678284,100,,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}"
27,,28,0.685649202733485,0.836020252849999,1,4,0.01,poly,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}"
28,,29,0.660592255125285,0.97038176000994,1,,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}"
29,,30,0.649202733485194,0.996583108129096,10,,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}"
30,,30,0.649202733485194,1,100,,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}"
31,,32,0.646924829157175,0.646926350448855,1,,0.01,sigmoid,"{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}"
32,,32,0.646924829157175,0.646926350448855,1,,0.001,sigmoid,"{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}"
33,,32,0.646924829157175,0.644651011089367,1,,0.0001,sigmoid,"{'C': 1, 'gamma': 0.0001, 'kernel': 'sigmoid'}"
34,,32,0.646924829157175,0.646926350448855,10,,0.01,sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}"
35,,32,0.646924829157175,0.646926350448855,10,,0.001,sigmoid,"{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}"
36,,32,0.646924829157175,0.646926350448855,100,,0.01,sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}"
37,,32,0.646924829157175,0.646926350448855,100,,0.001,sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}"
38,,39,0.580865603644647,0.568446556704874,10,,0.0001,sigmoid,"{'C': 10, 'gamma': 0.0001, 'kernel': 'sigmoid'}"
39,,40,0.521640091116173,0.524120150343242,100,,0.0001,sigmoid,"{'C': 100, 'gamma': 0.0001, 'kernel': 'sigmoid'}"
